"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mafumofu Mittens","50z","Anteka Pelt",1,,,,,,,1,0,0,0,0,3,"Male/ Female","Blade/ Gunner",1,1,1,"O--","Snow Res",1,"Protection",2,"Heat Res",-2,"Cold Res",4,,
"Leather Vambraces","150z","Sm Monster Bone",1,"Anteka Pelt",1,,,,,2,2,0,0,0,0,"Male/ Female","Blade/ Gunner",1,1,1,"O--","Throw",2,"Backpackng",2,"Gathering",3,"Alchemy",2,,
"Chain Vambraces","300z","Iron Ore",2,"Sm Monster Bone",3,,,,,4,2,-2,0,2,1,"Male/ Female","Blade/ Gunner",1,1,1,"O--","Paralysis",-1,"Health",2,"Hunger",2,"Map",2,"Whim",2
"Hunter Vambraces","450z","Iron Ore",2,"Bullfango Pelt",1,"Ivy",2,,,8,0,-4,0,0,0,"Male/ Female","Blade",1,1,1,"O--","Faint",-1,"Health",3,"PsychicVis",3,"Carving",2,,
"Hunter Guards","450z","Iron Ore",2,"Bullfango Pelt",1,"Ivy",2,,,6,2,-2,0,2,2,"Male/ Female","Gunner",1,1,1,"O--","Faint",-1,"PsychicVis",3,"Precision",3,"Carving",2,,
"Bone Vambraces","650z","Sm Monster Bone",5,"Anteka Pelt",2,"Giaprey Scale",1,,,14,2,-2,-2,2,-2,"Male/ Female","Blade",2,1,1,"O--","Gluttony",3,"Anti-Theft",2,"Map",-1,"PsychicVis",1,"Horn",2
"Bone Guards","650z","Sm Monster Bone",5,"Anteka Pelt",2,"Giaprey Scale",1,,,8,5,0,0,5,-1,"Male/ Female","Gunner",2,1,1,"O--","Gluttony",3,"Anti-Theft",2,"Map",-1,"PsychicVis",1,"BBQ",2
"Giaprey Vambraces","750z","Giaprey Scale",2,"Iron Ore",5,"Anteka Pelt",1,,,16,0,1,-1,1,3,"Male/ Female","Blade",2,1,1,"O--","Snow Res",3,"Fire Res",-2,"Ice Res",2,"PsychicVis",2,,
"Giaprey Guards","750z","Giaprey Scale",2,"Iron Ore",5,"Anteka Pelt",1,,,8,1,3,0,3,4,"Male/ Female","Gunner",2,1,1,"O--","Snow Res",3,"PelletSAdd",2,"Fire Res",-2,"PsychicVis",2,,
