"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mafumofu Boots","50z","Anteka Pelt",1,,,,,,,1,0,0,0,0,3,"Male/Female","Blade/Gunner",1,"1","1","O--","Protection",2,"Ice Res",1,"Heat Res",-2,"Cold Res",4,,
"Green Pants","150z","Anteka Pelt",1,"Sm Monster Bone",1,,,,,2,2,0,0,0,0,"Male/Female","Blade/Gunner",1,"1","1","O--","Throw",2,"Backpackng",2,"Gathering",3,"Alchemy",2,,
"Blue Pants","300z","Iron Ore",2,"Anteka Pelt",3,,,,,4,2,-2,0,2,1,"Male/Female","Blade/Gunner",1,"1","1","O--","Paralysis",-1,"Health",3,"Hunger",2,"Map",1,"Whim",2
"Hunter Greaves","450z","Iron Ore",3,"Bullfango Pelt",1,"Earth Crystal",1,,,8,0,-4,0,0,0,"Male/Female","Blade",1,"1","1","O--","Faint",-1,"PsychicVis",3,"Carving",2,"BBQ",3,,
"Hunter Leggings","450z","Iron Ore",3,"Bullfango Pelt",1,"Earth Crystal",1,,,6,2,-2,0,2,2,"Male/Female","Gunner",1,"1","1","O--","Faint",-1,"NormalS Up",3,"PsychicVis",3,"Carving",2,,
"Bone Greaves","650z","Brute Bone",4,"Anteka Pelt",1,"Giaprey Hide",1,,,14,2,-2,-2,2,-2,"Male/Female","Blade",2,"1","1","O--","Gluttony",3,"Anti-Theft",2,"Map",-1,"PsychicVis",1,"Horn",2
"Bone Leggings","650z","Brute Bone",4,"Anteka Pelt",1,"Giaprey Hide",1,,,8,5,0,0,5,-1,"Male/Female","Gunner",2,"1","1","O--","Gluttony",3,"Anti-Theft",2,"Map",-1,"PsychicVis",1,"Horn",2
"Giaprey Greaves","750z","Giaprey Scale",2,"Disk Stone",3,"Giaprey Hide",4,,,16,0,1,-1,1,3,"Male/Female","Blade",2,"1","1","O--","Snow Res",3,"Guard",2,"Fire Res",-2,"Quake Res",2,,
"Giaprey Leggings","750z","Giaprey Scale",2,"Disk Stone",3,"Giaprey Hide",4,,,8,1,3,0,3,4,"Male/Female","Gunner",2,"1","1","O--","Snow Res",3,"PelletS Up",2,"Fire Res",-2,"PsychicVis",2,,
"Battle Greaves","750z","Kelbi Hide",1,"Bullfango Pelt",2,"Earth Crystal",3,"Whetstone",5,16,2,-2,0,-2,-1,"Male/Female","Blade",2,"1","1","O--","Health",2,"SwdShrpner",2,"Hunger",-1,"Attack",2,"PsychicVis",2
"Battle Leggings","750z","Kelbi Hide",1,"Bullfango Pelt",2,"Huskberry",20,"Sm Bone Husk",5,10,4,0,2,0,0,"Male/Female","Gunner",2,"1","1","O--","Load",2,"Hunger",-1,"Attack",2,"PsychicVis",2,"Precision",2
"Silver Metal Boots","1900z",,,,,,,,,18,0,-2,0,2,0,"Male/Female","Blade/Gunner",2,"10","4","OO-","Stamina",-2,"Gunnery",5,,,,,,
"Dark Metal Boots","2300z",,,,,,,,,20,0,2,0,-2,0,"Male/Female","Blade/Gunner",2,"10","4","OO-","Sneak",2,"PsychicVis",5,,,,,,
