"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mafumofu Coat","50z","Anteka Pelt",1,,,,,,,1,0,0,0,0,3,"Male/Female","Blade/Gunner",1,1,1,"O--","Protection",2,"Heat Res",-2,"Cold Res",4,"Map",1,,
"Light Belt","100z","Anteka Pelt",2,,,,,,,2,-2,2,-2,2,2,"Male/Female","Blade/Gunner",1,1,1,"O--","Backpackng",5,"Gathering",4,,,,,,
"Leather Belt","150z","Sm Monster Bone",2,"Anteka Pelt",1,,,,,2,2,0,0,0,0,"Male/Female","Blade/Gunner",1,1,1,"---","Throw",2,"Backpackng",1,"Gathering",3,"MixSucRate",3,"Cooking",-2
"Iron Belt","200z","Iron Ore",2,"Kelbi Hide",1,"Pin Tuna",2,,,4,4,-6,0,-4,-2,"Male/Female","Blade/Gunner",1,1,1,"O--","Hunger",4,"Fate",2,"Stamina",3,,,,
"Chain Belt","300z","Iron Ore",2,"Anteka Pelt",2,,,,,4,2,-2,0,2,1,"Male/Female","Blade/Gunner",1,1,1,"O--","Paralysis",-1,"Health",3,"Backpackng",2,"Map",1,"Whim",2
"Hunter Tasset","450z","Iron Ore",1,"Bullfango Pelt",3,,,,,8,0,-4,0,0,0,"Male/Female","Blade",1,1,1,"O--","Faint",-1,"PsychicVis",3,"Carving",2,"BBQ",3,,
"Hunter Coat","450z","Iron Ore",1,"Bullfango Pelt",3,,,,,6,2,-2,0,2,2,"Male/Female","Gunner",1,1,1,"O--","Faint",-1,"NormalS Up",3,"PsychicVis",3,"Carving",2,,
"Bone Tasset","650z","Unknown Skull",1,"Bullfango Pelt",1,"Anteka Pelt",2,,,14,2,-2,-2,2,-2,"Male/Female","Blade",2,1,2,"O--","Anti-Theft",3,"Map",-1,"PsychicVis",1,"Alchemy",2,"Horn",2
"Bone Coat","650z","Carpenterbug",2,"Bullfango Pelt",1,"Sm Bone Husk",3,,,8,5,0,0,5,-1,"Male/Female","Gunner",2,1,1,"O--","Anti-Theft",3,"Map",-1,"PsychicVis",1,"Alchemy",2,"BBQ",2
"Giaprey Tasset","750z","Giaprey Scale",3,"Earth Crystal",2,"Bullfango Pelt",1,,,16,0,1,-1,1,3,"Male/Female","Blade",2,1,2,"---","Torso Inc",,,,,,,,,
"Giaprey Coat","750z","Giaprey Scale",3,"Earth Crystal",2,"Bullfango Pelt",1,,,8,1,3,0,3,4,"Male/Female","Gunner",2,1,2,"---","Torso Inc",,,,,,,,,
"Battle Tasset","750z","Kelbi Hide",2,"Anteka Pelt",2,"Earth Crystal",2,"Whetstone",2,16,2,-2,0,-2,-1,"Male/Female","Blade",2,1,2,"O--","Health",2,"SwdShrpner",3,"Hunger",-2,"Attack",2,,
"Battle Coat","750z","Kelbi Hide",2,"Anteka Pelt",2,"Iron Ore",3,"Sm Bone Husk",3,10,4,0,2,0,0,"Male/Female","Gunner",2,1,2,"O--","Load",3,"Hunger",-2,"Attack",2,"Precision",2,,
"Hide Belt","950z","FireWyvern Fluid",2,"Bulldrome Hide",1,,,,,18,2,2,0,2,2,"Male/Female","Blade/Gunner",2,1,2,"---","HiSpdGathr",10,,,,,,,,
"Velociprey Tasset","1150z","Velociprey Hide",4,"Velociprey Scale",2,"Bullfango Pelt",1,"Carpenterbug",1,20,1,1,-1,1,0,"Male/Female","Blade",2,1,2,"O--","Paralysis",-2,"Faint",3,"SwdShrpner",2,"MixSucRate",2,,
"Velociprey Coat","1150z","Velociprey Hide",4,"Velociprey Scale",2,"Bullfango Pelt",1,"Carpenterbug",1,10,3,3,0,3,1,"Male/Female","Gunner",2,1,2,"O--","Paralysis",-2,"Faint",3,"PelletSAdd",2,"Shot Mix",2,,
"Vespoid Tasset","1150z","Vespoid Wing",4,"Iron Ore",4,"Disk Stone",3,,,20,-6,2,2,-5,-4,"Male/Female","Blade",3,1,1,"O--","Paralysis",3,"Poison",-2,"MixSucRate",2,"Everlastng",2,,
"Vespoid Coat","1150z","Vespoid Shell",5,"Iron Ore",4,"Disk Stone",3,,,10,-5,5,2,-4,-3,"Male/Female","Gunner",3,1,1,"O--","Paralysis",3,"Poison",-2,"MixSucRate",2,"Everlastng",2,,
"Hi-Metal Tasset","1150z","Machalite Ore",2,"Disk Stone",3,"Thunderbug",2,,,20,-2,3,0,-2,-1,"Male/Female","Blade",3,1,1,"O--","Health",3,"Whim",1,"Stamina",-2,"Gunnery",3,,
"Hi-Metal Coat","1150z","Machalite Ore",2,"Disk Stone",3,"Thunderbug",2,,,10,0,5,0,0,0,"Male/Female","Gunner",3,1,1,"O--","Health",3,"CragS Add",1,"Stamina",-2,"Gunnery",3,,
"Hornet Tasset","1350z","Hornetaur Wing",2,"Hornetaur Shell",4,"Carpenterbug",3,"Monster Fluid",1,22,-6,-5,2,-1,-5,"Male/Female","Blade",3,1,2,"O--","Protection",-2,"HearProtct",3,"Dragon Res",2,"Gathering",2,,
"Hornet Coat","1350z","Hornetaur Wing",2,"Hornetaur Shell",4,"Carpenterbug",3,"Monster Fluid",1,11,-5,-3,3,2,-4,"Male/Female","Gunner",3,1,2,"O--","Protection",-2,"HearProtct",3,"Dragon Res",2,"Gathering",2,,
"Genprey Tasset","1350z","Genprey Hide",4,"Genprey Scale",3,"Iron Ore",2,"Bullfango Pelt",2,22,2,3,-1,-2,-2,"Male/Female","Blade",3,1,2,"O--","Paralysis",3,"Rec Speed",-3,"Spc Attack",3,,,,
"Genprey Coat","1350z","Genprey Hide",4,"Genprey Scale",3,"Iron Ore",2,"Bullfango Pelt",2,11,4,5,0,0,0,"Male/Female","Gunner",3,1,2,"O--","Paralysis",3,"Poison",-1,"Rec Speed",-1,"PelletS Up",3,"Spc Attack",1
"Chrome Metal Coat","3630z",,,,,,,,,24,2,0,0,-2,0,"Male/Female","Blade/Gunner",3,10,6,"---","Torso Inc",,,,,,,,,
"Steel Belt","1650z","Machalite Ore",8,"Iron Ore",12,"Earth Crystal",2,,,24,2,-2,0,2,0,"Male/Female","Blade",3,1,1,"O--","Guard",2,"Map",4,"PsychicVis",1,"Stamina",-2,,
"Ioprey Tasset","1650z","Iodrome Hide",3,"Med Monster Bone",3,"Ioprey Scale",3,"Machalite Ore",1,24,3,-2,-1,2,1,"Male/Female","Blade",3,1,2,"O--","Faint",-1,"Poison",3,"Health",4,"Fatigue",1,,
"Ioprey Coat","1650z","Iodrome Hide",3,"Med Monster Bone",3,"Ioprey Scale",3,"Machalite Ore",1,12,4,0,0,3,2,"Male/Female","Gunner",3,1,2,"O--","Faint",-1,"Poison",3,"PelletSAdd",4,"Fatigue",1,,
"Kut-Ku Tasset","1650z","Kut-Ku Scale",2,"Kut-Ku Shell",3,"Med Monster Bone",1,,,24,2,0,-1,-2,-2,"Male/Female","Blade",3,1,2,"O--","Health",3,"Attack",2,"Defence",-1,"Fire Res",2,"Water Res",-1
"Kut-Ku Coat","1650z","Kut-Ku Scale",2,"Kut-Ku Shell",3,"Med Monster Bone",1,,,12,5,3,0,1,-1,"Male/Female","Gunner",3,1,2,"O--","Health",3,"Attack",2,"Defence",-1,"Fire Res",2,"Water Res",-1
"Cephalos Tasset","2350z","Cephalos Scale",5,"Piscine Fang",2,"Med Monster Bone",2,"Burst Arrowana",5,28,-3,-4,0,2,2,"Male/Female","Blade",3,1,2,"O--","Hunger",3,"Heat Res",4,"Cold Res",-2,,,,
"Cephalos Coat","2350z","Cephalos Scale",5,"Piscine Fang",2,"Med Monster Bone",2,"Burst Arrowana",5,16,-1,-2,1,5,3,"Male/Female","Gunner",3,1,2,"O--","Hunger",3,"Heat Res",4,"Cold Res",-2,,,,
"Conga Tasset","2350z","Congalala Fang",3,"Congalala Pelt",3,"Bulldrome Hide",1,"Giant Bone",2,28,-3,2,0,2,-1,"Male/Female","Blade",3,1,2,"O--","Antiseptic",2,"BombStrUp",2,"Hunger",-2,"Gluttony",3,,
"Conga Coat","2350z","Congalala Fang",3,"Congalala Pelt",3,"Bulldrome Hide",1,"Giant Bone",2,16,-1,4,1,4,0,"Male/Female","Gunner",3,1,2,"O--","Antiseptic",2,"NormalS Up",2,"Hunger",-2,"Gluttony",3,,
"Gypceros Tasset","2850z","Poison Sac",1,"Antiseptic Stone",2,"Rubbery Hide",2,,,30,-4,4,0,1,1,"Male/Female","Blade",3,1,3,"O--","Poison",3,"Hunger",-2,"ThunderRes",2,"Stamina",2,,
"Gypceros Coat","2850z","Poison Sac",1,"Antiseptic Stone",2,"Rubbery Hide",2,,,16,-1,6,0,4,3,"Male/Female","Gunner",3,1,3,"O--","Poison",3,"Hunger",-2,"ThunderRes",2,"Stamina",2,,
"Khezu Tasset","3350z","Flabby Hide",2,"Iron Ore",8,"Rubbery Hide",1,,,32,-3,4,0,3,1,"Male/Female","Blade",3,1,3,"OO-","Faint",-1,"Rec Speed",3,"Wide Area",2,"Horn",1,,
"Khezu Coat","3350z","Flabby Hide",2,"Iron Ore",8,"Rubbery Hide",1,,,16,-1,6,0,5,2,"Male/Female","Gunner",3,1,3,"O--","Faint",-2,"Rec Speed",4,"Wide Area",2,"Precision",1,,
"Hermitaur Tasset","3350z","Hermitaur Shell",3,"Sm Hermitaur Shl",2,"Sharp Claw",4,"Sm Monster Bone",5,32,-3,-4,1,3,0,"Male/Female","Blade",3,1,3,"O--","Guard",1,"Throw",2,"Defence",3,"ThunderRes",-3,,
"Hermitaur Coat","3350z","Hermitaur Shell",3,"Sm Hermitaur Shl",2,"Sharp Claw",4,"Sm Monster Bone",5,16,-1,-2,2,5,1,"Male/Female","Gunner",3,1,3,"O--","Guard Up",1,"Throw",2,"Defence",3,"ThunderRes",-3,,
"Lobster Coil","4150z","Sm Lobstershell",2,"Plesioth Fin",1,"Earth Crystal",3,"Bulldrome Hide",2,34,-2,-6,-2,6,2,"Male/Female","Blade",3,1,3,"O--","Guard",-2,"Water Res",1,"Fishing",3,"Evade",3,,
"Lobster Coat","4150z","Sm Lobstershell",2,"Plesioth Fin",1,"Earth Crystal",3,"Bulldrome Hide",2,17,0,-5,0,5,3,"Male/Female","Gunner",3,1,3,"O--","Water Res",1,"Fishing",3,"Evade",3,"Precision",-2,,
"Kut-Ku Tasset D","1650z","Blue Kut-Ku Scl",2,"Blue Kut-Ku Shl",3,"Bullfango Pelt",1,"Med Monster Bone",1,22,2,0,-1,-2,-2,"Male/Female","Blade",3,1,3,"O--","Health",-1,"Rec Speed",-2,"Expert",2,"ElementAtk",2,"Attack",2
"Kut-Ku Coat D","1650z","Blue Kut-Ku Scl",2,"Blue Kut-Ku Shl",3,"Bullfango Pelt",1,"Med Monster Bone",1,10,5,3,0,1,-1,"Male/Female","Gunner",3,1,3,"O--","Health",-1,"Rec Speed",-2,"Expert",2,"ElementAtk",2,"Attack",2
"Gypceros Tasset D","2850z","Pur Rubbery Hide",2,"Antiseptic Stone",2,"Poison Sac",1,,,28,-4,4,0,1,1,"Male/Female","Blade",3,2,3,"OO-","Faint",3,"Wide Area",2,"WindPress",1,"Fate",-1,,
"Gypceros Coat D","2850z","Pur Rubbery Hide",2,"Antiseptic Stone",2,"Poison Sac",1,,,14,-1,6,0,4,3,"Male/Female","Gunner",3,2,3,"O--","Faint",3,"Wide Area",2,"WindPress",2,"Fate",-2,,
"Khezu Tasset D","3350z","Alluring Hide",2,"Iron Ore",8,"Rubbery Hide",1,,,30,3,4,0,-3,0,"Male/Female","Blade",3,2,4,"OO-","SwdShrpner",-2,"Wide Area",3,"Recovery",2,,,,
"Khezu Coat D","3350z","Alluring Hide",2,"Iron Ore",8,"Rubbery Hide",1,,,14,5,6,0,-1,1,"Male/Female","Gunner",3,2,4,"OO-","Wide Area",3,"Recovery",2,"MixSucRate",-2,,,,
"Basarios Tasset","3350z","Basarios Shell",4,"Machalite Ore",7,"Iron Ore",6,"Genprey Hide",3,32,0,2,-2,2,1,"Male/Female","Blade",4,2,4,"O--","Sleep",3,"Faint",-1,"Defence",1,"Whim",2,"Terrain",2
"Basarios Coat","3350z","Basarios Shell",4,"Machalite Ore",7,"Iron Ore",6,"Genprey Hide",3,16,2,4,0,4,2,"Male/Female","Gunner",4,2,4,"O--","Sleep",3,"Faint",-1,"Defence",1,"Whim",2,"Terrain",2
"Monoblos Coil","4900z","Monoblos Spine",3,"Blood Red Horn",1,"Monoblos Shell",2,"Lg Monster Bone",4,36,2,-2,-1,-1,-1,"Male/Female","Blade",4,10,"4!","O--","Health",3,"Attack",2,"Protection",-2,"Potential",2,,
"Monoblos Coat","4900z","Monoblos Spine",3,"Blood Red Horn",1,"Monoblos Shell",2,"Lg Monster Bone",4,18,4,0,0,2,0,"Male/Female","Gunner",4,10,"4!","O--","Health",3,"Attack",2,"Protection",-2,"Potential",2,,
"Garuga Tasset","4900z","Garuga Scale",4,"Garuga Shell",5,"Killer Beetle",2,"Lg Monster Bone",2,36,2,2,0,0,0,"Male/Female","Blade",4,10,"4!","OO-","Sharpness",2,"Expert",2,"HearProtct",1,"Gathering",-2,,
"Garuga Coat","4900z","Garuga Scale",4,"Garuga Shell",5,"Killer Beetle",2,"Lg Monster Bone",2,18,3,3,0,2,1,"Male/Female","Gunner",4,10,"4!","O--","Expert",2,"PierceSAdd",2,"HearProtct",1,"Gathering",-2,,
"Blango Tasset","4900z","Blango Pelt",4,"Giadrome Hide",2,"Brute Bone",2,"Giant Bone",2,36,-4,0,1,2,3,"Male/Female","Blade",4,2,4,"O--","Snow Res",2,"Cold Res",3,"Terrain",-2,"Quake Res",2,,
"Blango Coat","4900z","Blango Pelt",4,"Giadrome Hide",2,"Brute Bone",2,"Giant Bone",2,18,-3,1,2,4,5,"Male/Female","Gunner",4,2,4,"O--","Snow Res",2,"Cold Res",3,"Terrain",-2,"Quake Res",2,,
"Ceanataur Tasset","5200z","Sm Ceanataur Shl",4,"Ceanataur Shell",2,"Machalite Ore",2,"Killer Beetle",1,37,1,-1,0,2,-1,"Male/Female","Blade",4,2,4,"OO-","Sharpness",2,"Artisan",1,"SwdShrpner",2,"Defence",-2,,
"Ceanataur Coat","5200z","Sm Ceanataur Shl",4,"Ceanataur Shell",2,"Machalite Ore",2,"Killer Beetle",1,18,2,0,2,4,0,"Male/Female","Gunner",4,2,4,"O--","PierceS Up",3,"PierceSAdd",1,"Defence",-3,"Precision",2,,
"Rathian Tasset","5350z","Rathian Shell",3,"Rathian Scale",2,"Carpenterbug",4,"Dragonite Ore",2,38,2,-2,-4,0,0,"Male/Female","Blade",4,1,6,"OO-","Faint",-1,"Poison",2,"Health",3,"PsychicVis",1,,
"Rathian Coat","5350z","Rathian Shell",3,"Rathian Scale",2,"Carpenterbug",4,"Dragonite Ore",2,18,4,0,-2,2,2,"Male/Female","Gunner",4,1,6,"O--","Faint",-1,"Poison",2,"Health",3,"PsychicVis",3,,
"Tigrex Tasset","5800z","Tigrex Fang",3,"Tigrex Scale",4,"Tigrex Shell",2,"Killer Beetle",2,40,3,-2,-1,2,3,"Male/Female","Blade",4,3,5,"O--","Protection",-2,"HearProtct",2,"PsychicVis",3,"Cooking",2,,
"Tigrex Coat","5800z","Tigrex Fang",3,"Tigrex Scale",4,"Tigrex Shell",2,"Killer Beetle",2,20,4,-1,0,3,4,"Male/Female","Gunner",4,3,5,"O--","Protection",-2,"HearProtct",2,"PsychicVis",3,"Cooking",2,,
"Rathalos Tasset","5800z","FireWyvern Claw",2,"Rathalos Scale",2,"Rathalos Shell",3,"Lg Monster Bone",2,40,2,2,-4,-1,-3,"Male/Female","Blade",4,1,6,"O--","Paralysis",-2,"Rec Speed",1,"Attack",4,"PsychicVis",2,,
"Rathalos Coat","5800z","FireWyvern Claw",2,"Rathalos Scale",2,"Rathalos Shell",3,"Lg Monster Bone",2,20,4,5,-2,0,-1,"Male/Female","Gunner",4,1,6,"O--","Paralysis",-2,"Rec Speed",1,"Attack",4,"PsychicVis",2,,
